PO_ID,list_of_reasons
PO1443,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1444,Missing GRN
PO1445,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1446,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1447,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1448,Missing GRN
PO1449,Missing GRN
PO1450,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1451,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1452,Missing GRN
PO1453,Missing GRN
PO1454,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1455,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1456,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1457,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1458,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1459,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1460,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1461,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1462,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1463,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1464,Missing GRN
PO1465,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1466,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1467,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1468,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1469,Missing GRN
PO1470,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1471,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1472,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1473,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1474,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1475,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1476,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1477,Missing GRN
PO1478,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1479,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1480,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1481,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1482,Missing GRN
PO1483,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1484,Missing GRN
PO1485,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1486,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1487,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1488,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1489,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1490,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1491,Missing GRN
PO1492,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1493,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1494,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1495,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1496,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1497,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1498,Missing GRN
PO1499,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1500,Missing GRN
PO1501,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1502,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1503,Missing GRN
PO1504,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1505,Missing GRN
PO1506,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1507,Missing GRN
PO1508,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1509,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1510,Missing GRN
PO1511,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1512,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1513,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1514,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1515,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1516,Missing GRN
PO1517,Missing GRN
PO1518,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1519,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1520,Missing GRN
PO1521,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1522,Missing GRN
PO1523,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1524,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1525,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1526,Missing GRN
PO1527,Missing GRN
PO1528,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1529,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1530,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1531,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1532,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1533,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1534,Missing GRN
PO1535,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1536,Missing GRN
PO1537,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1538,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1539,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1540,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1541,Missing GRN
PO1542,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1543,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1544,Missing GRN
PO1545,Missing GRN
PO1546,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1547,Missing GRN
PO1548,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1549,Missing GRN
PO1550,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1551,Missing GRN
PO1552,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1553,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1554,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1555,Missing GRN
PO1556,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1557,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1558,Missing GRN
PO1559,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1560,Missing GRN
PO1561,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1562,Missing GRN
PO1563,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1564,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1565,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1566,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1567,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1568,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1569,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1570,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1571,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1572,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1573,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1574,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1575,Missing GRN
PO1576,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1577,Missing GRN
PO1578,Missing GRN
PO1579,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1580,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1581,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1582,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1583,Missing GRN
PO1584,Missing GRN
PO1585,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1586,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1587,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1588,Missing GRN
PO1589,Missing GRN
PO1590,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1591,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1592,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1593,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1594,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1595,Missing GRN
PO1596,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1597,Missing GRN
PO1598,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1599,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1600,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1601,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1602,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1603,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1604,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1605,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1606,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1607,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1608,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1609,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1610,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1611,Missing GRN
PO1612,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1613,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1614,Missing GRN
PO1615,Missing GRN
PO1616,Missing GRN
PO1617,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1618,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1619,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1620,Missing GRN
PO1621,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1622,Missing GRN
PO1623,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1624,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1625,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1626,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1627,Missing GRN
PO1628,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1629,Missing GRN
PO1630,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1631,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1632,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1633,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1634,Missing GRN
PO1635,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1636,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1637,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1638,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1639,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1640,Missing GRN
PO1641,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1642,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1643,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1644,Missing GRN
PO1645,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1646,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1647,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1648,Missing GRN
PO1649,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1650,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1651,Missing GRN
PO1652,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1653,Missing GRN
PO1654,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1655,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1656,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1657,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1658,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1659,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1660,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1661,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1662,Missing GRN
PO1663,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1664,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1665,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1666,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1667,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1668,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1669,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1670,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1671,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1672,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1673,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1674,Missing GRN
PO1675,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1676,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1677,Missing GRN
PO1678,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1679,Missing GRN
PO1680,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1681,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1682,Missing GRN
PO1683,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1684,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1685,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1686,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1687,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1688,Missing GRN
PO1689,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1690,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1691,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1692,Missing GRN
PO1693,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1694,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1695,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1696,Missing GRN
PO1697,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1698,Missing GRN
PO1699,Missing GRN
PO1700,Missing GRN
PO1701,Missing GRN
PO1702,Missing GRN
PO1703,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1704,Missing GRN
PO1705,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1706,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1707,Missing GRN
PO1708,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1709,Missing GRN
PO1710,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1711,Missing GRN
PO1712,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1713,Missing GRN
PO1714,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1715,Missing GRN
PO1716,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1717,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1718,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1719,Missing GRN
PO1720,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1721,Missing GRN
PO1722,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1723,Missing GRN
PO1724,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1725,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1726,Missing GRN
PO1727,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1728,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1729,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1730,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1731,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1732,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1733,Missing GRN
PO1734,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1735,Missing GRN
PO1736,Missing GRN
PO1737,Missing GRN
PO1738,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1739,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1740,Missing GRN
PO1741,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1742,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1743,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1744,"Over-delivery, Total price discrepancy"
PO1745,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1746,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1747,Missing GRN
PO1748,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1749,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1750,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1751,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1752,Missing GRN
PO1753,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1754,Missing GRN
PO1755,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1756,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1757,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1758,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1759,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1760,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1761,Missing GRN
PO1762,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1763,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1764,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1765,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1766,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1767,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1768,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1769,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1770,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1771,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1772,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1773,Missing GRN
PO1774,Missing GRN
PO1775,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1776,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1777,Missing GRN
PO1778,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1779,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1780,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1781,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1782,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1783,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1784,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1785,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1786,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1787,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1788,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1789,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1790,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1791,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1792,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1793,"ASN/GRN mismatch, Over-delivery, Total price discrepancy"
PO1794,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1795,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1796,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1797,Missing GRN
PO1798,Missing GRN
PO1799,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1800,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1801,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1802,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1803,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1804,"ASN/GRN mismatch, Total price discrepancy, Under-delivery"
PO1805,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
PO1806,"ASN/GRN mismatch, Late delivery, Total price discrepancy, Under-delivery"
PO1807,"ASN/GRN mismatch, Late delivery, Over-delivery, Total price discrepancy"
