PO_ID,ASN/GRN mismatch,comments_ASN/GRN mismatch,Late delivery,comments_Late delivery,Missing GRN,comments_Missing GRN,No issues,comments_No issues,Over-delivery,comments_Over-delivery,Total price discrepancy,comments_Total price discrepancy,Under-delivery,comments_Under-delivery
PO1198,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1199,y,ASN shipped quantity (171) does not match GRN received quantity (169).,y,Earliest received date (2025-08-03) is after the PO delivery date (2025-07-21).,n,,n,,y,Total received quantity (169) exceeds ordered quantity (126).,y,Expected invoice amount (48397.86) does not match invoice amount (9372.95).,n,
PO1200,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1201,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1202,y,ASN shipped quantity (264) does not match GRN received quantity (144).,y,Earliest received date (2025-08-10) is after the PO delivery date (2025-07-09).,n,,n,,y,Total received quantity (144) exceeds ordered quantity (138).,y,Expected invoice amount (9546.84) does not match invoice amount (1295.03).,n,
PO1203,y,ASN shipped quantity (107) does not match GRN received quantity (122).,y,Earliest received date (2025-08-05) is after the PO delivery date (2025-08-03).,n,,n,,n,,y,Expected invoice amount (16741.24) does not match invoice amount (8923.12).,y,Total received quantity (122) is less than ordered quantity (124).
PO1204,y,ASN shipped quantity (53) does not match GRN received quantity (209).,n,,n,,n,,y,Total received quantity (209) exceeds ordered quantity (50).,y,Expected invoice amount (6227.50) does not match invoice amount (9689.29).,n,
PO1205,y,ASN shipped quantity (257) does not match GRN received quantity (396).,n,,n,,n,,y,Total received quantity (396) exceeds ordered quantity (160).,y,Expected invoice amount (28339.20) does not match invoice amount (3499.44).,n,
PO1206,y,ASN shipped quantity (199) does not match GRN received quantity (208).,n,,n,,n,,y,Total received quantity (208) exceeds ordered quantity (50).,y,Expected invoice amount (22967.00) does not match invoice amount (6708.68).,n,
PO1207,y,ASN shipped quantity (158) does not match GRN received quantity (98).,y,Earliest received date (2025-08-06) is after the PO delivery date (2025-07-06).,n,,n,,n,,y,Expected invoice amount (14964.75) does not match invoice amount (9536.73).,y,Total received quantity (98) is less than ordered quantity (135).
PO1208,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1209,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1210,y,ASN shipped quantity (212) does not match GRN received quantity (298).,n,,n,,n,,y,Total received quantity (298) exceeds ordered quantity (91).,y,Expected invoice amount (31769.92) does not match invoice amount (6301.19).,n,
PO1211,y,ASN shipped quantity (94) does not match GRN received quantity (78).,n,,n,,n,,n,,y,Expected invoice amount (69475.64) does not match invoice amount (8629.48).,y,Total received quantity (78) is less than ordered quantity (157).
PO1212,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1213,y,ASN shipped quantity (64) does not match GRN received quantity (162).,y,Earliest received date (2025-08-11) is after the PO delivery date (2025-07-14).,n,,n,,n,,y,Expected invoice amount (97924.76) does not match invoice amount (1354.53).,y,Total received quantity (162) is less than ordered quantity (197).
PO1214,y,ASN shipped quantity (310) does not match GRN received quantity (192).,y,Earliest received date (2025-08-01) is after the PO delivery date (2025-07-06).,n,,n,,y,Total received quantity (192) exceeds ordered quantity (85).,y,Expected invoice amount (30719.85) does not match invoice amount (9228.11).,n,
PO1215,y,ASN shipped quantity (208) does not match GRN received quantity (262).,y,Earliest received date (2025-08-01) is after the PO delivery date (2025-07-18).,n,,n,,y,Total received quantity (262) exceeds ordered quantity (67).,y,Expected invoice amount (17665.22) does not match invoice amount (9864.79).,n,
PO1216,y,ASN shipped quantity (49) does not match GRN received quantity (73).,y,Earliest received date (2025-08-06) is after the PO delivery date (2025-07-16).,n,,n,,n,,y,Expected invoice amount (59360.94) does not match invoice amount (7153.86).,y,Total received quantity (73) is less than ordered quantity (171).
PO1217,y,ASN shipped quantity (240) does not match GRN received quantity (180).,y,Earliest received date (2025-08-01) is after the PO delivery date (2025-07-13).,n,,n,,y,Total received quantity (180) exceeds ordered quantity (60).,y,Expected invoice amount (24168.60) does not match invoice amount (8555.67).,n,
PO1218,y,ASN shipped quantity (311) does not match GRN received quantity (342).,y,Earliest received date (2025-08-03) is after the PO delivery date (2025-07-28).,n,,n,,y,Total received quantity (342) exceeds ordered quantity (188).,y,Expected invoice amount (83103.52) does not match invoice amount (1096.14).,n,
PO1219,y,ASN shipped quantity (259) does not match GRN received quantity (290).,n,,n,,n,,y,Total received quantity (290) exceeds ordered quantity (78).,y,Expected invoice amount (17862.00) does not match invoice amount (1153.99).,n,
PO1220,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1221,y,ASN shipped quantity (123) does not match GRN received quantity (66).,n,,n,,n,,n,,y,Expected invoice amount (61230.89) does not match invoice amount (3658.21).,y,Total received quantity (66) is less than ordered quantity (139).
PO1222,y,ASN shipped quantity (297) does not match GRN received quantity (198).,n,,n,,n,,y,Total received quantity (198) exceeds ordered quantity (127).,y,Expected invoice amount (42486.58) does not match invoice amount (5881.73).,n,
PO1223,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1224,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1225,y,ASN shipped quantity (364) does not match GRN received quantity (379).,n,,n,,n,,y,Total received quantity (379) exceeds ordered quantity (100).,y,Expected invoice amount (36636.00) does not match invoice amount (8247.26).,n,
PO1226,y,ASN shipped quantity (127) does not match GRN received quantity (40).,n,,n,,n,,n,,y,Expected invoice amount (54991.50) does not match invoice amount (4005.68).,y,Total received quantity (40) is less than ordered quantity (122).
PO1227,y,ASN shipped quantity (516) does not match GRN received quantity (475).,n,,n,,n,,y,Total received quantity (475) exceeds ordered quantity (110).,y,Expected invoice amount (20946.20) does not match invoice amount (7076.62).,n,
PO1228,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1229,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1230,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1231,y,ASN shipped quantity (338) does not match GRN received quantity (351).,y,Earliest received date (2025-07-30) is after the PO delivery date (2025-06-08).,n,,n,,y,Total received quantity (351) exceeds ordered quantity (116).,y,Expected invoice amount (40000.28) does not match invoice amount (9726.93).,n,
PO1232,y,ASN shipped quantity (245) does not match GRN received quantity (292).,y,Earliest received date (2025-08-04) is after the PO delivery date (2025-07-23).,n,,n,,y,Total received quantity (292) exceeds ordered quantity (69).,y,Expected invoice amount (31662.72) does not match invoice amount (3455.44).,n,
PO1233,y,ASN shipped quantity (43) does not match GRN received quantity (175).,y,Earliest received date (2025-08-15) is after the PO delivery date (2025-08-12).,n,,n,,n,,y,Expected invoice amount (46516.14) does not match invoice amount (8585.80).,y,Total received quantity (175) is less than ordered quantity (191).
PO1234,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1235,y,ASN shipped quantity (143) does not match GRN received quantity (49).,y,Earliest received date (2025-07-31) is after the PO delivery date (2025-07-07).,n,,n,,n,,y,Expected invoice amount (7193.16) does not match invoice amount (1129.52).,y,Total received quantity (49) is less than ordered quantity (52).
PO1236,y,ASN shipped quantity (78) does not match GRN received quantity (147).,y,Earliest received date (2025-08-14) is after the PO delivery date (2025-08-02).,n,,n,,n,,y,Expected invoice amount (21312.00) does not match invoice amount (8539.73).,y,Total received quantity (147) is less than ordered quantity (180).
PO1237,y,ASN shipped quantity (516) does not match GRN received quantity (558).,y,Earliest received date (2025-07-29) is after the PO delivery date (2025-06-12).,n,,n,,y,Total received quantity (558) exceeds ordered quantity (173).,y,Expected invoice amount (15813.93) does not match invoice amount (5889.65).,n,
PO1238,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1239,y,ASN shipped quantity (84) does not match GRN received quantity (205).,y,Earliest received date (2025-07-30) is after the PO delivery date (2025-07-27).,n,,n,,y,Total received quantity (205) exceeds ordered quantity (169).,y,Expected invoice amount (68727.23) does not match invoice amount (7038.14).,n,
PO1240,y,ASN shipped quantity (107) does not match GRN received quantity (140).,y,Earliest received date (2025-07-28) is after the PO delivery date (2025-07-03).,n,,n,,y,Total received quantity (140) exceeds ordered quantity (90).,y,Expected invoice amount (7836.30) does not match invoice amount (9252.62).,n,
PO1241,y,ASN shipped quantity (307) does not match GRN received quantity (389).,y,Earliest received date (2025-07-30) is after the PO delivery date (2025-07-13).,n,,n,,y,Total received quantity (389) exceeds ordered quantity (115).,y,Expected invoice amount (20486.10) does not match invoice amount (3870.25).,n,
PO1242,y,ASN shipped quantity (273) does not match GRN received quantity (296).,y,Earliest received date (2025-08-07) is after the PO delivery date (2025-07-28).,n,,n,,y,Total received quantity (296) exceeds ordered quantity (184).,y,Expected invoice amount (52706.80) does not match invoice amount (3475.20).,n,
PO1243,y,ASN shipped quantity (332) does not match GRN received quantity (305).,n,,n,,n,,y,Total received quantity (305) exceeds ordered quantity (159).,y,Expected invoice amount (64484.04) does not match invoice amount (5770.11).,n,
PO1244,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1245,y,ASN shipped quantity (482) does not match GRN received quantity (385).,y,Earliest received date (2025-08-03) is after the PO delivery date (2025-06-26).,n,,n,,y,Total received quantity (385) exceeds ordered quantity (161).,y,Expected invoice amount (18695.32) does not match invoice amount (1205.84).,n,
PO1246,y,ASN shipped quantity (59) does not match GRN received quantity (203).,y,Earliest received date (2025-08-03) is after the PO delivery date (2025-07-05).,n,,n,,y,Total received quantity (203) exceeds ordered quantity (65).,y,Expected invoice amount (32485.70) does not match invoice amount (5408.81).,n,
PO1247,y,ASN shipped quantity (354) does not match GRN received quantity (212).,n,,n,,n,,y,Total received quantity (212) exceeds ordered quantity (183).,y,Expected invoice amount (21050.49) does not match invoice amount (4783.87).,n,
PO1248,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1249,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1250,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1251,y,ASN shipped quantity (112) does not match GRN received quantity (135).,y,Earliest received date (2025-08-15) is after the PO delivery date (2025-07-09).,n,,n,,y,Total received quantity (135) exceeds ordered quantity (106).,y,Expected invoice amount (18345.42) does not match invoice amount (5720.70).,n,
PO1252,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1253,y,ASN shipped quantity (108) does not match GRN received quantity (86).,n,,n,,n,,n,,y,Expected invoice amount (24164.82) does not match invoice amount (5911.06).,y,Total received quantity (86) is less than ordered quantity (102).
PO1254,y,ASN shipped quantity (111) does not match GRN received quantity (160).,y,Earliest received date (2025-08-08) is after the PO delivery date (2025-07-31).,n,,n,,y,Total received quantity (160) exceeds ordered quantity (66).,y,Expected invoice amount (26050.20) does not match invoice amount (2337.94).,n,
PO1255,y,ASN shipped quantity (68) does not match GRN received quantity (176).,y,Earliest received date (2025-08-08) is after the PO delivery date (2025-07-13).,n,,n,,y,Total received quantity (176) exceeds ordered quantity (58).,y,Expected invoice amount (8679.12) does not match invoice amount (2854.32).,n,
PO1256,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1257,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1258,y,ASN shipped quantity (75) does not match GRN received quantity (152).,y,Earliest received date (2025-07-30) is after the PO delivery date (2025-07-25).,n,,n,,y,Total received quantity (152) exceeds ordered quantity (74).,y,Expected invoice amount (28949.54) does not match invoice amount (6198.71).,n,
PO1259,y,ASN shipped quantity (62) does not match GRN received quantity (169).,y,Earliest received date (2025-07-29) is after the PO delivery date (2025-07-10).,n,,n,,y,Total received quantity (169) exceeds ordered quantity (124).,y,Expected invoice amount (31409.20) does not match invoice amount (6747.42).,n,
PO1260,y,ASN shipped quantity (249) does not match GRN received quantity (242).,y,Earliest received date (2025-07-30) is after the PO delivery date (2025-07-06).,n,,n,,y,Total received quantity (242) exceeds ordered quantity (196).,y,Expected invoice amount (24253.04) does not match invoice amount (7197.30).,n,
PO1261,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1262,y,ASN shipped quantity (202) does not match GRN received quantity (340).,y,Earliest received date (2025-08-03) is after the PO delivery date (2025-07-14).,n,,n,,y,Total received quantity (340) exceeds ordered quantity (126).,y,Expected invoice amount (55699.56) does not match invoice amount (4451.44).,n,
PO1263,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1264,y,ASN shipped quantity (146) does not match GRN received quantity (127).,y,Earliest received date (2025-08-09) is after the PO delivery date (2025-08-02).,n,,n,,n,,y,Expected invoice amount (57910.08) does not match invoice amount (7263.85).,y,Total received quantity (127) is less than ordered quantity (179).
PO1265,y,ASN shipped quantity (311) does not match GRN received quantity (303).,y,Earliest received date (2025-08-02) is after the PO delivery date (2025-07-10).,n,,n,,y,Total received quantity (303) exceeds ordered quantity (133).,y,Expected invoice amount (27757.10) does not match invoice amount (7896.76).,n,
PO1266,y,ASN shipped quantity (215) does not match GRN received quantity (169).,y,Earliest received date (2025-08-06) is after the PO delivery date (2025-07-06).,n,,n,,y,Total received quantity (169) exceeds ordered quantity (100).,y,Expected invoice amount (34486.00) does not match invoice amount (7659.64).,n,
PO1267,y,ASN shipped quantity (76) does not match GRN received quantity (92).,y,Earliest received date (2025-08-09) is after the PO delivery date (2025-07-08).,n,,n,,n,,y,Expected invoice amount (38479.61) does not match invoice amount (4774.24).,y,Total received quantity (92) is less than ordered quantity (169).
PO1268,y,ASN shipped quantity (178) does not match GRN received quantity (216).,y,Earliest received date (2025-08-01) is after the PO delivery date (2025-06-29).,n,,n,,y,Total received quantity (216) exceeds ordered quantity (61).,y,Expected invoice amount (17394.76) does not match invoice amount (8963.19).,n,
PO1269,y,ASN shipped quantity (173) does not match GRN received quantity (105).,y,Earliest received date (2025-08-16) is after the PO delivery date (2025-06-19).,n,,n,,n,,y,Expected invoice amount (10383.31) does not match invoice amount (5954.18).,y,Total received quantity (105) is less than ordered quantity (133).
PO1270,y,ASN shipped quantity (171) does not match GRN received quantity (150).,y,Earliest received date (2025-08-14) is after the PO delivery date (2025-06-16).,n,,n,,y,Total received quantity (150) exceeds ordered quantity (141).,y,Expected invoice amount (65160.33) does not match invoice amount (8409.19).,n,
PO1271,y,ASN shipped quantity (689) does not match GRN received quantity (727).,n,,n,,n,,y,Total received quantity (727) exceeds ordered quantity (88).,y,Expected invoice amount (29757.20) does not match invoice amount (4376.34).,n,
PO1272,y,ASN shipped quantity (170) does not match GRN received quantity (266).,y,Earliest received date (2025-07-30) is after the PO delivery date (2025-07-04).,n,,n,,y,Total received quantity (266) exceeds ordered quantity (172).,y,Expected invoice amount (9410.12) does not match invoice amount (9587.07).,n,
PO1273,y,ASN shipped quantity (374) does not match GRN received quantity (682).,y,Earliest received date (2025-07-28) is after the PO delivery date (2025-06-22).,n,,n,,y,Total received quantity (682) exceeds ordered quantity (138).,y,Expected invoice amount (32010.48) does not match invoice amount (1842.77).,n,
PO1274,y,ASN shipped quantity (205) does not match GRN received quantity (225).,y,Earliest received date (2025-07-28) is after the PO delivery date (2025-07-19).,n,,n,,y,Total received quantity (225) exceeds ordered quantity (125).,y,Expected invoice amount (47157.50) does not match invoice amount (5189.42).,n,
PO1275,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1276,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1277,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1278,y,ASN shipped quantity (195) does not match GRN received quantity (93).,y,Earliest received date (2025-08-12) is after the PO delivery date (2025-07-09).,n,,n,,n,,y,Expected invoice amount (67124.72) does not match invoice amount (1733.54).,y,Total received quantity (93) is less than ordered quantity (158).
PO1279,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1280,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1281,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1282,y,ASN shipped quantity (421) does not match GRN received quantity (314).,n,,n,,n,,y,Total received quantity (314) exceeds ordered quantity (51).,y,Expected invoice amount (7366.44) does not match invoice amount (4278.92).,n,
PO1283,y,ASN shipped quantity (64) does not match GRN received quantity (69).,y,Earliest received date (2025-08-07) is after the PO delivery date (2025-07-18).,n,,n,,n,,y,Expected invoice amount (35298.12) does not match invoice amount (2791.97).,y,Total received quantity (69) is less than ordered quantity (78).
PO1284,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1285,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1286,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1287,y,ASN shipped quantity (311) does not match GRN received quantity (368).,y,Earliest received date (2025-08-09) is after the PO delivery date (2025-07-10).,n,,n,,y,Total received quantity (368) exceeds ordered quantity (104).,y,Expected invoice amount (8589.36) does not match invoice amount (5386.20).,n,
PO1288,y,ASN shipped quantity (241) does not match GRN received quantity (119).,n,,n,,n,,y,Total received quantity (119) exceeds ordered quantity (112).,y,Expected invoice amount (43680.00) does not match invoice amount (4314.87).,n,
PO1289,y,ASN shipped quantity (243) does not match GRN received quantity (260).,n,,n,,n,,y,Total received quantity (260) exceeds ordered quantity (63).,y,Expected invoice amount (24418.17) does not match invoice amount (9073.69).,n,
PO1290,y,ASN shipped quantity (287) does not match GRN received quantity (382).,y,Earliest received date (2025-08-07) is after the PO delivery date (2025-05-26).,n,,n,,y,Total received quantity (382) exceeds ordered quantity (124).,y,Expected invoice amount (19413.44) does not match invoice amount (5445.57).,n,
PO1291,y,ASN shipped quantity (45) does not match GRN received quantity (160).,y,Earliest received date (2025-08-13) is after the PO delivery date (2025-05-25).,n,,n,,n,,y,Expected invoice amount (76608.19) does not match invoice amount (6116.39).,y,Total received quantity (160) is less than ordered quantity (191).
PO1292,y,ASN shipped quantity (203) does not match GRN received quantity (479).,y,Earliest received date (2025-07-30) is after the PO delivery date (2025-06-26).,n,,n,,y,Total received quantity (479) exceeds ordered quantity (128).,y,Expected invoice amount (34734.08) does not match invoice amount (5758.20).,n,
PO1293,y,ASN shipped quantity (83) does not match GRN received quantity (140).,y,Earliest received date (2025-08-07) is after the PO delivery date (2025-06-16).,n,,n,,n,,y,Expected invoice amount (11387.25) does not match invoice amount (9508.17).,y,Total received quantity (140) is less than ordered quantity (189).
PO1294,y,ASN shipped quantity (182) does not match GRN received quantity (211).,y,Earliest received date (2025-08-05) is after the PO delivery date (2025-06-22).,n,,n,,y,Total received quantity (211) exceeds ordered quantity (161).,y,Expected invoice amount (51328.41) does not match invoice amount (9403.49).,n,
PO1295,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1296,y,ASN shipped quantity (149) does not match GRN received quantity (153).,y,Earliest received date (2025-08-10) is after the PO delivery date (2025-07-25).,n,,n,,y,Total received quantity (153) exceeds ordered quantity (94).,y,Expected invoice amount (13431.66) does not match invoice amount (7804.25).,n,
PO1297,y,ASN shipped quantity (61) does not match GRN received quantity (90).,y,Earliest received date (2025-08-10) is after the PO delivery date (2025-07-21).,n,,n,,y,Total received quantity (90) exceeds ordered quantity (72).,y,Expected invoice amount (19534.32) does not match invoice amount (9709.83).,n,
PO1298,y,ASN shipped quantity (261) does not match GRN received quantity (301).,y,Earliest received date (2025-08-07) is after the PO delivery date (2025-07-06).,n,,n,,y,Total received quantity (301) exceeds ordered quantity (59).,y,Expected invoice amount (3217.27) does not match invoice amount (1944.73).,n,
PO1299,y,ASN shipped quantity (172) does not match GRN received quantity (83).,y,Earliest received date (2025-08-11) is after the PO delivery date (2025-08-01).,n,,n,,n,,y,Expected invoice amount (65592.98) does not match invoice amount (5280.78).,y,Total received quantity (83) is less than ordered quantity (193).
PO1300,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1301,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1302,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1303,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1304,y,ASN shipped quantity (160) does not match GRN received quantity (47).,n,,n,,n,,n,,y,Expected invoice amount (55840.08) does not match invoice amount (6661.30).,y,Total received quantity (47) is less than ordered quantity (174).
PO1305,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1306,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1307,y,ASN shipped quantity (146) does not match GRN received quantity (86).,y,Earliest received date (2025-07-29) is after the PO delivery date (2025-07-21).,n,,n,,y,Total received quantity (86) exceeds ordered quantity (76).,y,Expected invoice amount (21153.84) does not match invoice amount (2902.56).,n,
PO1308,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1309,y,ASN shipped quantity (371) does not match GRN received quantity (227).,n,,n,,n,,y,Total received quantity (227) exceeds ordered quantity (173).,y,Expected invoice amount (42251.79) does not match invoice amount (4509.20).,n,
PO1310,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1311,y,ASN shipped quantity (329) does not match GRN received quantity (292).,y,Earliest received date (2025-08-08) is after the PO delivery date (2025-06-28).,n,,n,,y,Total received quantity (292) exceeds ordered quantity (112).,y,Expected invoice amount (43638.56) does not match invoice amount (5546.12).,n,
PO1312,y,ASN shipped quantity (369) does not match GRN received quantity (313).,n,,n,,n,,y,Total received quantity (313) exceeds ordered quantity (158).,y,Expected invoice amount (62944.04) does not match invoice amount (4488.62).,n,
PO1313,y,ASN shipped quantity (74) does not match GRN received quantity (43).,y,Earliest received date (2025-08-06) is after the PO delivery date (2025-07-12).,n,,n,,n,,y,Expected invoice amount (37044.00) does not match invoice amount (5573.22).,y,Total received quantity (43) is less than ordered quantity (120).
PO1314,y,ASN shipped quantity (446) does not match GRN received quantity (406).,n,,n,,n,,y,Total received quantity (406) exceeds ordered quantity (149).,y,Expected invoice amount (9476.40) does not match invoice amount (6819.37).,n,
PO1315,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1316,y,ASN shipped quantity (141) does not match GRN received quantity (71).,y,Earliest received date (2025-07-31) is after the PO delivery date (2025-07-16).,n,,n,,n,,y,Expected invoice amount (25230.70) does not match invoice amount (5315.03).,y,Total received quantity (71) is less than ordered quantity (110).
PO1317,y,ASN shipped quantity (273) does not match GRN received quantity (62).,y,Earliest received date (2025-08-07) is after the PO delivery date (2025-07-20).,n,,n,,n,,y,Expected invoice amount (59621.40) does not match invoice amount (2619.37).,y,Total received quantity (62) is less than ordered quantity (183).
PO1318,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1319,y,ASN shipped quantity (553) does not match GRN received quantity (402).,y,Earliest received date (2025-07-28) is after the PO delivery date (2025-07-27).,n,,n,,y,Total received quantity (402) exceeds ordered quantity (132).,y,Expected invoice amount (63924.96) does not match invoice amount (7544.10).,n,
PO1320,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1321,y,ASN shipped quantity (173) does not match GRN received quantity (257).,y,Earliest received date (2025-07-30) is after the PO delivery date (2025-07-10).,n,,n,,y,Total received quantity (257) exceeds ordered quantity (155).,y,Expected invoice amount (64438.15) does not match invoice amount (3631.69).,n,
PO1322,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1323,y,ASN shipped quantity (315) does not match GRN received quantity (240).,y,Earliest received date (2025-08-02) is after the PO delivery date (2025-07-31).,n,,n,,y,Total received quantity (240) exceeds ordered quantity (139).,y,Expected invoice amount (49356.12) does not match invoice amount (7653.49).,n,
PO1324,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1325,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1326,y,ASN shipped quantity (444) does not match GRN received quantity (455).,n,,n,,n,,y,Total received quantity (455) exceeds ordered quantity (64).,y,Expected invoice amount (16116.48) does not match invoice amount (1762.39).,n,
PO1327,y,ASN shipped quantity (120) does not match GRN received quantity (56).,y,Earliest received date (2025-08-07) is after the PO delivery date (2025-06-23).,n,,n,,n,,y,Expected invoice amount (39126.20) does not match invoice amount (2152.77).,y,Total received quantity (56) is less than ordered quantity (83).
PO1328,y,ASN shipped quantity (123) does not match GRN received quantity (157).,y,Earliest received date (2025-07-30) is after the PO delivery date (2025-07-02).,n,,n,,n,,y,Expected invoice amount (52935.67) does not match invoice amount (1650.51).,y,Total received quantity (157) is less than ordered quantity (179).
PO1329,y,ASN shipped quantity (121) does not match GRN received quantity (46).,y,Earliest received date (2025-08-09) is after the PO delivery date (2025-08-02).,n,,n,,n,,y,Expected invoice amount (72616.75) does not match invoice amount (5509.12).,y,Total received quantity (46) is less than ordered quantity (173).
PO1330,y,ASN shipped quantity (82) does not match GRN received quantity (192).,y,Earliest received date (2025-08-14) is after the PO delivery date (2025-08-11).,n,,n,,y,Total received quantity (192) exceeds ordered quantity (97).,y,Expected invoice amount (17181.61) does not match invoice amount (9789.68).,n,
PO1331,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1332,y,ASN shipped quantity (61) does not match GRN received quantity (168).,y,Earliest received date (2025-08-01) is after the PO delivery date (2025-07-30).,n,,n,,y,Total received quantity (168) exceeds ordered quantity (147).,y,Expected invoice amount (21362.04) does not match invoice amount (1345.82).,n,
PO1333,y,ASN shipped quantity (65) does not match GRN received quantity (123).,y,Earliest received date (2025-08-06) is after the PO delivery date (2025-07-02).,n,,n,,y,Total received quantity (123) exceeds ordered quantity (76).,y,Expected invoice amount (18206.56) does not match invoice amount (3218.30).,n,
PO1334,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1335,y,ASN shipped quantity (288) does not match GRN received quantity (418).,n,,n,,n,,y,Total received quantity (418) exceeds ordered quantity (134).,y,Expected invoice amount (65646.60) does not match invoice amount (4238.45).,n,
PO1336,y,ASN shipped quantity (194) does not match GRN received quantity (212).,y,Earliest received date (2025-08-11) is after the PO delivery date (2025-07-30).,n,,n,,y,Total received quantity (212) exceeds ordered quantity (85).,y,Expected invoice amount (24372.05) does not match invoice amount (2435.66).,n,
PO1337,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1338,y,ASN shipped quantity (680) does not match GRN received quantity (472).,y,Earliest received date (2025-08-02) is after the PO delivery date (2025-07-12).,n,,n,,y,Total received quantity (472) exceeds ordered quantity (117).,y,Expected invoice amount (26604.63) does not match invoice amount (4062.78).,n,
PO1339,y,ASN shipped quantity (168) does not match GRN received quantity (145).,y,Earliest received date (2025-08-09) is after the PO delivery date (2025-07-13).,n,,n,,y,Total received quantity (145) exceeds ordered quantity (69).,y,Expected invoice amount (27662.79) does not match invoice amount (4731.60).,n,
PO1340,n,,n,,y,No GRN record found for this PO.,n,,n,,n,,n,
PO1341,y,ASN shipped quantity (186) does not match GRN received quantity (81).,y,Earliest received date (2025-08-06) is after the PO delivery date (2025-06-27).,n,,n,,n,,y,Expected invoice amount (73121.25) does not match invoice amount (5671.02).,y,Total received quantity (81) is less than ordered quantity (185).
PO1342,y,ASN shipped quantity (319) does not match GRN received quantity (139).,y,Earliest received date (2025-08-15) is after the PO delivery date (2025-07-24).,n,,n,,y,Total received quantity (139) exceeds ordered quantity (93).,y,Expected invoice amount (41026.95) does not match invoice amount (5049.76).,n,
PO1343,y,ASN shipped quantity (158) does not match GRN received quantity (170).,n,,n,,n,,y,Total received quantity (170) exceeds ordered quantity (145).,y,Expected invoice amount (28646.20) does not match invoice amount (9888.16).,n,
PO1344,y,ASN shipped quantity (428) does not match GRN received quantity (633).,n,,n,,n,,y,Total received quantity (633) exceeds ordered quantity (119).,y,Expected invoice amount (49475.44) does not match invoice amount (6586.89).,n,
PO1345,y,ASN shipped quantity (41) does not match GRN received quantity (152).,y,Earliest received date (2025-08-16) is after the PO delivery date (2025-06-29).,n,,n,,y,Total received quantity (152) exceeds ordered quantity (57).,y,Expected invoice amount (14747.61) does not match invoice amount (5051.61).,n,
